town,lat,lng
Bridgetown,13.0975,-59.6167
Holetown,13.1867,-59.6381
Speightstown,13.2544,-59.6408
Oistins,13.0644,-59.5444
Bathsheba,13.2102,-59.5254
Sunbury,13.1228,-59.485
Hillaby,13.2104,-59.5858
Brucevale,13.2253,-59.5628
Whitehill,13.2122,-59.5801
saint lawrence,13.0707,-59.5772
Blades,13.1103,-59.4678
saint john,13.1824,-59.5033
Hastings,13.0758,-59.5974
Saintjames,13.1842,-59.6305
Saint Martins,13.0953,-59.4707
Charnocks,13.0833,-59.4937
Prospect,13.1468,-59.6372
cavehill,13.1331,-59.6233
Lower Carlton,13.2214,-59.64
saintthomas,13.1741,-59.5828
